Can Tho_Rainfall,Can Tho_Water Level,Chau Doc_Rainfall,Chau Doc_Water Level,Dai Ngai_Rainfall,Dai Ngai_Water Level
0.0,-0.824,0.0,0.201,0.0,-0.904
0.0,-0.838,0.0,0.159,0.0,-0.768
0.0,-0.828,0.0,0.121,0.0,-0.621
0.0,-0.797,0.0,0.084,0.0,-0.471
0.0,-0.73,0.0,0.048,0.0,-0.322
0.0,-0.654,0.0,0.012,0.0,-0.167
0.0,-0.55,0.0,-0.022,0.0,-0.019
0.0,-0.416,0.0,-0.057,0.0,0.119
0.0,-0.27,0.0,-0.09,0.0,0.234
0.0,-0.118,0.0,-0.123,0.0,0.363
0.0,0.018,0.0,-0.156,0.0,0.483
0.0,0.152,0.0,-0.185,0.0,0.58
0.0,0.271,0.0,-0.212,0.0,0.678
0.0,0.388,0.0,-0.236,0.0,0.766
0.0,0.492,0.0,-0.254,0.0,0.851
0.0,0.538,0.0,-0.265,0.0,0.892
0.0,0.584,0.0,-0.263,0.0,0.933
0.0,0.672,0.0,-0.263,0.0,0.993
0.0,0.747,0.0,-0.244,0.0,1.049
0.0,0.849,0.0,-0.201,0.0,1.103
0.0,0.845,0.0,-0.12,0.0,1.145
0.0,0.902,0.0,0.006,0.0,1.178
0.0,0.949,0.0,0.168,0.0,1.204
0.0,0.998,0.0,0.335,0.0,1.226
0.0,1.043,0.0,0.482,0.0,1.243
0.0,1.084,0.0,0.607,0.0,1.243
0.0,1.123,0.0,0.714,0.0,1.244
0.0,1.152,0.0,0.804,0.0,1.25
0.0,1.184,0.0,0.881,0.0,1.226
0.0,1.205,0.0,0.952,0.0,1.191
0.0,1.223,0.0,1.017,0.0,1.139
0.0,1.235,0.0,1.073,0.0,1.095
0.0,1.237,0.0,1.123,0.0,1.064
0.0,1.229,0.0,1.168,0.0,1.048
0.0,1.215,0.0,1.207,0.0,1.032
0.0,1.192,0.0,1.247,0.0,1.017
0.0,1.167,0.0,1.285,0.0,1.0
0.0,1.152,0.0,1.321,0.0,0.976
0.0,1.137,0.0,1.355,0.0,0.951
0.0,1.124,0.0,1.384,0.0,0.949
0.0,1.112,0.0,1.41,0.0,0.951
0.0,1.099,0.0,1.436,0.0,0.931
0.0,1.082,0.0,1.456,0.0,0.892
0.0,1.071,0.0,1.467,0.0,0.881
0.0,1.069,0.0,1.473,0.0,0.873
0.0,1.06,0.0,1.474,0.0,0.868
0.0,1.042,0.0,1.466,0.0,0.862
0.0,1.025,0.0,1.449,0.0,0.856
0.0,1.008,0.0,1.428,0.0,0.882
0.0,1.0,0.0,1.405,0.0,0.913
0.0,0.994,0.0,1.377,0.0,0.93
0.0,0.989,0.0,1.347,0.0,0.937
0.0,0.993,0.0,1.318,0.0,0.943
0.0,1.007,0.0,1.29,0.0,0.93
0.0,1.016,0.0,1.263,0.0,0.911
0.0,1.02,0.0,1.241,0.0,0.916
0.0,1.025,0.0,1.218,0.0,0.928
0.0,1.02,0.0,1.196,0.0,0.926
0.0,1.012,0.0,1.172,0.0,0.898
0.0,1.001,0.0,1.148,0.0,0.87
0.0,0.998,0.0,1.124,0.0,0.85
0.0,0.992,0.0,1.107,0.0,0.82
0.0,0.976,0.0,1.093,0.0,0.791
0.0,0.954,0.0,1.082,0.0,0.748
0.0,0.928,0.0,1.075,0.0,0.702
0.0,0.902,0.0,1.069,0.0,0.672
0.0,0.869,0.0,1.065,0.0,0.62
0.0,0.841,0.0,1.06,0.0,0.572
0.0,0.809,0.0,1.055,0.0,0.533
0.0,0.773,0.0,1.046,0.0,0.476
0.0,0.734,0.0,1.039,0.0,0.411
0.0,0.694,0.0,1.034,0.0,0.34
0.0,0.657,0.0,1.031,0.0,0.254
0.0,0.612,0.0,1.024,0.0,0.169
0.0,0.569,0.0,1.015,0.0,0.091
0.0,0.515,0.0,1.009,0.0,0.01
0.0,0.462,0.0,0.999,0.0,-0.07
0.0,0.406,0.0,0.986,0.0,-0.156
0.0,0.347,0.0,0.972,0.0,-0.243
0.0,0.288,0.0,0.954,0.0,-0.327
0.0,0.23,0.0,0.933,0.0,-0.406
0.0,0.174,0.0,0.911,0.0,-0.487
0.0,0.119,0.0,0.886,0.0,-0.568
0.0,0.06,0.0,0.86,0.0,-0.652
0.0,0.006,0.0,0.833,0.0,-0.734
0.0,-0.044,0.0,0.805,0.0,-0.81
0.0,-0.099,0.0,0.777,0.0,-0.881
0.0,-0.157,0.0,0.745,0.0,-0.948
0.0,-0.213,0.0,0.712,0.0,-1.01
0.0,-0.272,0.0,0.676,0.0,-1.069
0.0,-0.324,0.0,0.639,0.0,-1.119
0.0,-0.381,0.0,0.6,0.0,-1.157
0.0,-0.436,0.0,0.559,0.0,-1.184
0.0,-0.483,0.0,0.52,0.0,-1.207
0.0,-0.537,0.0,0.481,0.0,-1.229
0.0,-0.581,0.0,0.441,0.0,-1.24
0.0,-0.624,0.0,0.401,0.0,-1.231
0.0,-0.665,0.0,0.36,0.0,-1.205
0.0,-0.698,0.0,0.321,0.0,-1.169
0.0,-0.73,0.0,0.282,0.0,-1.095
0.0,-0.753,0.0,0.244,0.0,-0.989
0.0,-0.771,0.0,0.204,0.0,-0.877
0.0,-0.781,0.0,0.164,0.0,-0.744
0.0,-0.779,0.0,0.126,0.0,-0.603
0.0,-0.755,0.0,0.088,0.0,-0.454
0.0,-0.722,0.0,0.049,0.0,-0.319
0.0,-0.651,0.0,0.014,0.0,-0.181
0.0,-0.559,0.0,-0.021,0.0,-0.027
0.0,-0.441,0.0,-0.053,0.0,0.116
0.0,-0.317,0.0,-0.089,0.0,0.254
0.0,-0.166,0.0,-0.12,0.0,0.389
0.0,-0.034,0.0,-0.149,0.0,0.492
0.0,0.106,0.0,-0.176,0.0,0.598
0.0,0.237,0.0,-0.203,0.0,0.703
0.0,0.354,0.0,-0.226,0.0,0.794
0.0,0.46,0.0,-0.242,0.0,0.889
0.0,0.552,0.0,-0.252,0.0,0.97
0.0,0.5975,0.0,-0.257,0.0,1.0114999999999998
0.0,0.643,0.0,-0.257,0.0,1.053
0.0,0.724,0.0,-0.249,0.0,1.134
0.0,0.798,0.0,-0.218,0.0,1.215
0.0,0.864,0.0,-0.158,0.0,1.274
0.0,0.931,0.0,-0.054,0.0,1.313
0.0,0.991,0.0,0.092,0.0,1.336
0.0,1.053,0.0,0.259,0.0,1.364
0.0,1.107,0.0,0.416,0.0,1.369
0.0,1.152,0.0,0.549,0.0,1.367
0.0,1.193,0.0,0.665,0.0,1.362
0.0,1.228,0.0,0.766,0.0,1.362
0.0,1.254,0.0,0.852,0.0,1.349
0.0,1.27,0.0,0.928,0.0,1.325
0.0,1.294,0.0,0.998,0.0,1.281
0.0,1.302,0.0,1.061,0.0,1.207
0.0,1.31,0.0,1.117,0.0,1.141
0.0,1.307,0.0,1.171,0.0,1.079
0.0,1.294,0.0,1.218,0.0,1.024
0.0,1.264,0.0,1.262,0.0,0.983
0.0,1.23,0.0,1.305,0.0,0.943
0.0,1.188,0.0,1.344,0.0,0.887
0.0,1.15,0.0,1.378,0.0,0.832
0.0,1.112,0.0,1.407,0.0,0.801
0.0,1.069,0.0,1.429,0.0,0.79
0.0,1.031,0.0,1.452,0.0,0.764
0.0,0.994,0.0,1.47,0.0,0.722
0.0,0.957,0.0,1.483,0.0,0.682
0.0,0.927,0.0,1.49,0.0,0.652
0.0,0.9135,0.0,1.492,0.0,0.6425000000000001
0.0,0.9,0.0,1.492,0.0,0.633
0.0,0.872,0.0,1.49,0.0,0.617
0.0,0.84,0.0,1.472,0.0,0.617
0.0,0.814,0.0,1.445,0.0,0.604
0.0,0.795,0.0,1.409,0.0,0.591
0.0,0.775,0.0,1.369,0.0,0.605
0.0,0.806,0.0,0.86,0.0,0.814
0.0,0.808,0.0,0.841,0.0,0.809
0.0,0.802,0.0,0.822,0.0,0.782
0.0,0.804,0.0,0.808,0.0,0.746
0.0,0.809,0.0,0.795,0.0,0.717
0.0,0.814,0.0,0.79,0.0,0.684
0.0,0.81,0.0,0.79,0.0,0.642
0.0,0.794,0.0,0.793,0.0,0.583
0.0,0.769,0.0,0.802,0.0,0.536
0.0,0.742,0.0,0.813,0.0,0.482
0.0,0.714,0.0,0.826,0.0,0.404
0.0,0.683,0.0,0.84,0.0,0.302
0.0,0.645,0.0,0.854,0.0,0.199
0.0,0.602,0.0,0.866,0.0,0.097
0.0,0.547,0.0,0.876,0.0,-0.011
0.0,0.484,0.0,0.885,0.0,-0.112
0.0,0.415,0.0,0.896,0.0,-0.203
0.0,0.349,0.0,0.902,0.0,-0.286
0.0,0.272,0.0,0.905,0.0,-0.373
0.0,0.204,0.0,0.903,0.0,-0.462
0.0,0.139,0.0,0.892,0.0,-0.548
0.0,0.072,0.0,0.878,0.0,-0.631
0.0,0.014,0.0,0.86,0.0,-0.712
0.0,-0.042,0.0,0.84,0.0,-0.784
0.0,-0.095,0.0,0.817,0.0,-0.851
0.0,-0.152,0.0,0.791,0.0,-0.913
0.0,-0.21,0.0,0.758,0.0,-0.972
0.0,-0.261,0.0,0.718,0.0,-1.025
0.0,-0.315,0.0,0.676,0.0,-1.073
0.0,-0.365,0.0,0.633,0.0,-1.115
0.0,-0.412,0.0,0.588,0.0,-1.145
0.0,-0.462,0.0,0.542,0.0,-1.162
0.0,-0.511,0.0,0.495,0.0,-1.176
0.0,-0.56,0.0,0.45,0.0,-1.186
0.0,-0.598,0.0,0.41,0.0,-1.186
0.0,-0.634,0.0,0.368,0.0,-1.164
0.0,-0.666,0.0,0.327,0.0,-1.11
0.0,-0.695,0.0,0.284,0.0,-1.014
0.0,-0.722,0.0,0.243,0.0,-0.886
0.0,-0.74,0.0,0.203,0.0,-0.736
0.0,-0.748,0.0,0.166,0.0,-0.577
0.0,-0.743,0.0,0.126,0.0,-0.417
0.0,-0.712,0.0,0.085,0.0,-0.261
0.0,-0.644,0.0,0.046,0.0,-0.099
0.0,-0.555,0.0,0.01,0.0,0.047
0.0,-0.43,0.0,-0.025,0.0,0.186
0.0,-0.283,0.0,-0.061,0.0,0.33
0.0,-0.125,0.0,-0.093,0.0,0.455
0.0,0.027,0.0,-0.126,0.0,0.578
0.0,0.167,0.0,-0.156,0.0,0.698
0.0,0.295,0.0,-0.184,0.0,0.83
0.0,0.421,0.0,-0.209,0.0,0.941
0.0,0.523,0.0,-0.233,0.0,1.024
0.0,0.622,0.0,-0.252,0.0,1.099
0.0,0.6725,0.0,-0.26,0.0,1.1345
0.0,0.723,0.0,-0.259,0.0,1.17
0.0,0.812,0.0,-0.258,0.0,1.259
0.0,0.885,0.0,-0.233,0.0,1.311
0.0,0.952,0.0,-0.171,0.0,1.339
0.0,1.01,0.0,-0.052,0.0,1.365
0.0,1.065,0.0,0.117,0.0,1.397
0.0,1.111,0.0,0.295,0.0,1.402
0.0,1.153,0.0,0.45,0.0,1.379
0.0,1.192,0.0,0.589,0.0,1.365
0.0,1.225,0.0,0.705,0.0,1.34
0.0,1.255,0.0,0.804,0.0,1.303
0.0,1.272,0.0,0.89,0.0,1.258
0.0,1.287,0.0,0.968,0.0,1.195
0.0,1.289,0.0,1.037,0.0,1.129
0.0,1.283,0.0,1.097,0.0,1.06
0.0,1.268,0.0,1.148,0.0,0.979
0.0,1.239,0.0,1.194,0.0,0.904
0.0,1.2,0.0,1.235,0.0,0.82
0.0,1.158,0.0,1.273,0.0,0.726
0.0,1.113,0.0,1.309,0.0,0.649
0.0,1.05,0.0,1.344,0.0,0.589
0.0,0.982,0.0,1.373,0.0,0.518
0.0,0.912,0.0,1.397,0.0,0.448
0.0,0.836,0.0,1.416,0.0,0.39
0.0,0.772,0.0,1.428,0.0,0.354
0.0,0.709,0.0,1.436,0.0,0.319
0.0,0.65,0.0,1.437,0.0,0.286
0.0,0.603,0.0,1.432,0.0,0.258
0.0,0.558,0.0,1.418,0.0,0.234
0.0,0.525,0.0,1.396,0.0,0.21
0.0,0.492,0.0,1.363,0.0,0.214
0.0,0.46,0.0,1.315,0.0,0.212
0.0,0.44,0.0,1.26,0.0,0.201
0.0,0.414,0.0,1.194,0.0,0.23
0.0,0.398,0.0,1.121,0.0,0.293
0.0,0.385,0.0,1.047,0.0,0.367
0.0,0.376,0.0,0.98,0.0,0.432
0.0,0.371,0.0,0.914,0.0,0.5
0.0,0.382,0.0,0.855,0.0,0.529
0.0,0.412,0.0,0.806,0.0,0.56
0.0,0.446,0.0,0.759,0.0,0.596
0.0,0.49,0.0,0.72,0.0,0.641
0.0,0.536,0.0,0.686,0.0,0.673
0.0,0.564,0.0,0.654,0.0,0.696
0.0,0.601,0.0,0.625,0.0,0.721
0.0,0.632,0.0,0.598,0.0,0.748
0.0,0.657,0.0,0.573,0.0,0.783
0.0,0.674,0.0,0.552,0.0,0.795
0.0,0.704,0.0,0.533,0.0,0.791
0.0,0.731,0.0,0.518,0.0,0.776
0.0,0.758,0.0,0.508,0.0,0.746
0.0,0.781,0.0,0.506,0.0,0.71
0.0,0.79,0.0,0.514,0.0,0.655
0.0,0.79,0.0,0.541,0.0,0.602
0.0,0.778,0.0,0.572,0.0,0.545
0.0,0.754,0.0,0.607,0.0,0.468
0.0,0.73,0.0,0.646,0.0,0.388
0.0,0.694,0.0,0.685,0.0,0.306
0.0,0.653,0.0,0.724,0.0,0.223
0.0,0.605,0.0,0.766,0.0,0.136
0.0,0.545,0.0,0.807,0.0,0.046
0.0,0.483,0.0,0.846,0.0,-0.045
0.0,0.415,0.0,0.887,0.0,-0.14
0.0,0.351,0.0,0.918,0.0,-0.236
0.0,0.285,0.0,0.942,0.0,-0.326
0.0,0.222,0.0,0.953,0.0,-0.421
0.0,0.157,0.0,0.955,0.0,-0.517
0.0,0.095,0.0,0.95,0.0,-0.613
0.0,0.035,0.0,0.93,0.0,-0.71
0.0,-0.027,0.0,0.899,0.0,-0.8
0.0,-0.085,0.0,0.858,0.0,-0.884
0.0,-0.146,0.0,0.809,0.0,-0.965
0.0,-0.21,0.0,0.76,0.0,-1.033
0.0,-0.276,0.0,0.707,0.0,-1.095
0.0,-0.335,0.0,0.66,0.0,-1.152
0.0,-0.396,0.0,0.613,0.0,-1.199
0.0,-0.452,0.0,0.57,0.0,-1.236
0.0,-0.502,0.0,0.525,0.0,-1.263
0.0,-0.559,0.0,0.482,0.0,-1.279
0.0,-0.608,0.0,0.441,0.0,-1.283
0.0,-0.652,0.0,0.396,0.0,-1.265
0.0,-0.694,0.0,0.354,0.0,-1.215
0.0,-0.735,0.0,0.31,0.0,-1.133
0.0,-0.762,0.0,0.266,0.0,-1.01
0.0,-0.785,0.0,0.222,0.0,-0.847
0.0,-0.804,0.0,0.179,0.0,-0.668
0.0,-0.798,0.0,0.133,0.0,-0.498
0.0,-0.775,0.0,0.093,0.0,-0.334
0.0,-0.733,0.0,0.053,0.0,-0.166
0.0,-0.637,0.0,0.011,0.0,0.015
0.0,-0.518,0.0,-0.028,0.0,0.196
0.0,-0.356,0.0,-0.069,0.0,0.363
0.0,-0.192,0.0,-0.109,0.0,0.501
0.0,-0.025,0.0,-0.147,0.0,0.631
0.0,0.144,0.0,-0.185,0.0,0.76
0.0,0.297,0.0,-0.219,0.0,0.884
0.0,0.43,0.0,-0.25,0.0,0.991
0.0,0.544,0.0,-0.277,0.0,1.086
0.0,0.648,0.0,-0.3,0.0,1.175
0.0,0.742,0.0,-0.316,0.0,1.257
0.0,0.786,0.0,-0.321,0.0,1.2934999999999999
0.0,0.83,0.0,-0.321,0.0,1.33
0.0,0.912,0.0,-0.307,0.0,1.387
0.0,0.982,0.0,-0.256,0.0,1.422
0.0,1.045,0.0,-0.152,0.0,1.443
0.0,1.096,0.0,0.021,0.0,1.456
0.0,1.147,0.0,0.224,0.0,1.453
0.0,1.189,0.0,0.412,0.0,1.414
0.0,1.229,0.0,0.571,0.0,1.353
0.0,1.259,0.0,0.705,0.0,1.285
0.0,1.282,0.0,0.813,0.0,1.192
0.0,1.291,0.0,0.896,0.0,1.087
0.0,1.285,0.0,0.972,0.0,0.993
0.0,1.267,0.0,1.036,0.0,0.899
0.0,1.229,0.0,1.094,0.0,0.79
0.0,1.179,0.0,1.146,0.0,0.687
0.0,1.118,0.0,1.193,0.0,0.59
0.0,1.043,0.0,1.23,0.0,0.496
0.0,0.965,0.0,1.264,0.0,0.405
0.0,0.875,0.0,1.3,0.0,0.324
0.0,0.784,0.0,1.334,0.0,0.245
0.0,0.708,0.0,1.358,0.0,0.163
0.0,0.628,0.0,1.378,0.0,0.098
0.0,0.55,0.0,1.389,0.0,0.034
0.0,0.5145,0.0,1.393,0.0,0.0015000000000000013
0.0,0.479,0.0,1.393,0.0,-0.031
0.0,0.416,0.0,1.392,0.0,-0.091
0.0,0.361,0.0,1.378,0.0,-0.146
0.0,0.306,0.0,1.346,0.0,-0.19
0.0,0.256,0.0,1.302,0.0,-0.234
0.0,0.214,0.0,1.241,0.0,-0.267
0.0,0.165,0.0,1.168,0.0,-0.287
0.0,0.127,0.0,1.087,0.0,-0.289
0.0,0.085,0.0,1.004,0.0,-0.274
0.0,0.056,0.0,0.923,0.0,-0.226
0.0,0.027,0.0,0.848,0.0,-0.153
0.0,0.0,0.0,0.782,0.0,-0.064
0.0,-0.013,0.0,0.723,0.0,0.05
0.0,-0.019,0.0,0.668,0.0,0.154
0.0,-0.012,0.0,0.616,0.0,0.273
0.0,0.024,0.0,0.568,0.0,0.404
0.0,0.067,0.0,0.526,0.0,0.516
0.0,0.14,0.0,0.487,0.0,0.609
0.0,0.229,0.0,0.448,0.0,0.69
0.0,0.33,0.0,0.411,0.0,0.764
0.0,0.443,0.0,0.375,0.0,0.83
0.0,0.544,0.0,0.341,0.0,0.885
0.0,0.629,0.0,0.309,0.0,0.931
0.0,0.704,0.0,0.28,0.0,0.959
0.0,0.768,0.0,0.255,0.0,0.984
0.0,0.823,0.0,0.235,0.0,0.986
0.0,0.871,0.0,0.224,0.0,0.98
0.0,0.908,0.0,0.218,0.0,0.957
0.0,0.936,0.0,0.227,0.0,0.91
0.0,0.953,0.0,0.259,0.0,0.861
0.0,0.959,0.0,0.315,0.0,0.805
0.0,0.953,0.0,0.397,0.0,0.747
0.0,0.938,0.0,0.503,0.0,0.671
0.0,0.912,0.0,0.617,0.0,0.564
0.0,0.873,0.0,0.722,0.0,0.448
0.0,0.84,0.0,0.814,0.0,0.333
0.0,0.791,0.0,0.893,0.0,0.223
0.0,0.724,0.0,0.958,0.0,0.11
0.0,0.637,0.0,1.014,0.0,-0.006
0.0,0.55,0.0,1.06,0.0,-0.121
0.0,0.455,0.0,1.096,0.0,-0.234
0.0,0.365,0.0,1.124,0.0,-0.34
0.0,0.279,0.0,1.139,0.0,-0.436
0.0,0.199,0.0,1.145,0.0,-0.531
0.0,0.122,0.0,1.145,0.0,-0.623
0.0,0.048,0.0,1.139,0.0,-0.71
0.0,-0.018,0.0,1.121,0.0,-0.793
0.0,-0.079,0.0,1.094,0.0,-0.871
0.0,-0.136,0.0,1.049,0.0,-0.946
0.0,-0.194,0.0,0.989,0.0,-1.014
0.0,-0.252,0.0,0.918,0.0,-1.077
0.0,-0.306,0.0,0.842,0.0,-1.134
0.0,-0.36,0.0,0.766,0.0,-1.186
0.0,-0.411,0.0,0.693,0.0,-1.23
0.0,-0.463,0.0,0.632,0.0,-1.263
0.0,-0.512,0.0,0.572,0.0,-1.284
0.0,-0.559,0.0,0.518,0.0,-1.292
0.0,-0.609,0.0,0.467,0.0,-1.278
0.0,-0.645,0.0,0.421,0.0,-1.243
0.0,-0.69,0.0,0.376,0.0,-1.157
0.0,-0.726,0.0,0.33,0.0,-1.001
0.0,-0.755,0.0,0.285,0.0,-0.788
0.0,-0.771,0.0,0.24,0.0,-0.567
0.0,-0.78,0.0,0.192,0.0,-0.363
0.0,-0.756,0.0,0.145,0.0,-0.155
0.0,-0.697,0.0,0.097,0.0,0.059
0.0,-0.582,0.0,0.051,0.0,0.251
0.0,-0.418,0.0,0.009,0.0,0.424
0.0,-0.217,0.0,-0.036,0.0,0.588
0.0,-0.021,0.0,-0.078,0.0,0.753
0.0,0.168,0.0,-0.117,0.0,0.893
0.0,0.342,0.0,-0.154,0.0,1.017
0.0,0.491,0.0,-0.189,0.0,1.121
0.0,0.622,0.0,-0.222,0.0,1.214
0.0,0.734,0.0,-0.253,0.0,1.297
0.0,0.816,0.0,-0.278,0.0,1.367
0.0,0.905,0.0,-0.297,0.2,1.418
0.0,0.946,0.0,-0.305,0.1,1.4275
0.0,0.987,0.0,-0.304,0.0,1.437
0.0,1.054,0.0,-0.29,0.0,1.45
0.0,1.109,0.0,-0.216,0.0,1.447
0.0,1.151,0.0,-0.054,0.0,1.418
0.0,1.186,0.0,0.175,0.0,1.373
0.0,1.208,0.0,0.398,0.0,1.297
0.0,1.228,0.0,0.582,0.0,1.202
0.0,1.226,0.0,0.727,0.0,1.103
0.0,1.239,0.0,0.849,0.0,0.988
0.0,1.228,0.0,0.945,0.0,0.872
0.0,1.197,0.0,1.019,0.0,0.756
0.0,1.157,0.0,1.085,0.0,0.64
0.0,1.1,0.0,1.141,0.0,0.514
0.0,1.02,0.0,1.185,0.0,0.402
0.0,0.932,0.0,1.224,0.0,0.297
0.0,0.826,0.0,1.255,0.0,0.182
0.0,0.726,0.0,1.279,0.0,0.07
0.0,0.628,0.0,1.306,0.0,-0.028
0.0,0.534,0.0,1.331,0.0,-0.118
0.0,0.443,0.0,1.348,0.0,-0.202
0.0,0.399,0.0,1.355,0.0,-0.2445
0.0,0.355,0.0,1.355,0.0,-0.287
0.0,0.28,0.0,1.354,0.0,-0.366
0.0,0.211,0.0,1.342,0.0,-0.434
0.0,0.145,0.0,1.315,0.0,-0.494
0.0,0.092,0.0,1.274,0.0,-0.556
0.0,0.035,0.0,1.213,0.0,-0.609
0.0,-0.008,0.0,1.138,0.0,-0.653
0.0,-0.052,0.0,1.048,0.0,-0.688
0.0,-0.097,0.0,0.956,0.0,-0.709
0.0,-0.141,0.0,0.868,0.0,-0.715
0.0,-0.179,0.0,0.788,0.0,-0.696
0.0,-0.221,0.0,0.718,0.0,-0.64
0.0,-0.257,0.0,0.657,0.0,-0.542
0.0,-0.288,0.0,0.598,0.0,-0.397
0.0,-0.31,0.0,0.543,0.0,-0.238
0.0,-0.319,0.0,0.493,0.0,-0.093
0.0,-0.317,0.0,0.446,0.0,0.077
0.0,-0.283,0.0,0.404,0.0,0.25
0.0,-0.212,0.0,0.363,0.0,0.4
0.0,-0.115,0.0,0.321,0.0,0.525
0.0,0.009,0.0,0.277,0.0,0.644
0.0,0.161,0.0,0.238,0.0,0.769
0.0,0.316,0.0,0.2,0.0,0.886
0.0,0.455,0.0,0.162,0.0,0.98
0.0,0.574,0.0,0.124,0.0,1.058
0.0,0.684,0.0,0.089,0.0,1.116
0.0,0.782,0.0,0.06,0.0,1.159
0.0,0.865,0.0,0.037,0.0,1.174
0.0,0.933,0.0,0.021,0.0,1.176
0.0,0.991,0.0,0.015,0.0,1.176
0.0,1.037,0.0,0.019,0.0,1.165
0.0,1.064,0.0,0.055,0.0,1.132
0.0,1.077,0.0,0.134,0.0,1.068
0.0,1.087,0.0,0.265,0.0,0.976
0.0,1.09,0.0,0.431,0.0,0.87
0.0,1.081,0.0,0.587,0.0,0.764
0.0,1.063,0.0,0.726,0.0,0.647
0.0,1.023,0.0,0.845,0.0,0.525
0.0,0.97,0.0,0.941,0.0,0.4
0.0,0.899,0.0,1.018,0.0,0.266
0.0,0.818,0.0,1.08,0.0,0.143
0.0,0.728,0.0,1.132,0.0,0.023
0.0,0.624,0.0,1.173,0.0,-0.094
0.0,0.52,0.0,1.206,0.0,-0.207
0.0,0.421,0.0,1.228,0.0,-0.312
0.0,0.323,0.0,1.243,0.0,-0.41
0.0,0.234,0.0,1.252,0.0,-0.503
0.0,0.154,0.0,1.256,0.0,-0.592
0.0,0.081,0.0,1.255,0.0,-0.675
0.0,0.015,0.0,1.24,0.0,-0.756
0.0,-0.048,0.0,1.205,0.0,-0.833
0.0,-0.104,0.0,1.153,0.0,-0.905
0.0,-0.153,0.0,1.082,0.0,-0.972
0.0,-0.211,0.0,1.0,0.0,-1.034
0.0,-0.265,0.0,0.909,0.0,-1.088
0.0,-0.317,0.0,0.821,0.0,-1.134
0.0,-0.368,0.0,0.739,0.0,-1.165
0.0,-0.42,0.0,0.668,0.0,-1.182
0.0,-0.465,0.0,0.606,0.0,-1.19
0.0,-0.527,0.0,0.55,0.0,-1.175
0.0,-0.565,0.0,0.497,0.0,-1.117
0.0,-0.606,0.0,0.449,0.0,-0.999
0.0,-0.634,0.0,0.403,0.0,-0.807
0.0,-0.662,0.0,0.357,0.0,-0.561
0.0,-0.682,0.0,0.312,0.0,-0.323
0.0,-0.672,0.0,0.266,0.0,-0.108
0.0,-0.638,0.0,0.22,0.0,0.102
0.0,-0.556,0.0,0.172,0.0,0.304
0.0,-0.402,0.0,0.123,0.0,0.496
0.0,-0.202,0.0,0.078,0.0,0.654
0.0,0.012,0.0,0.033,0.0,0.792
0.0,0.215,0.0,-0.009,0.0,0.919
0.0,0.401,0.0,-0.048,0.0,1.037
0.0,0.556,0.0,-0.088,0.0,1.14
0.0,0.679,0.0,-0.124,0.0,1.232
0.0,0.785,0.0,-0.155,0.0,1.313
0.0,0.87,0.0,-0.185,0.0,1.388
0.0,0.952,0.0,-0.209,0.0,1.434
0.0,1.027,0.0,-0.221,0.0,1.462
0.0,1.095,0.0,-0.22,0.0,1.477
0.0,1.15,0.0,-0.178,0.0,1.476
0.0,1.193,0.0,-0.056,0.0,1.444
0.0,1.219,0.0,0.167,0.0,1.386
0.0,1.246,0.0,0.409,0.0,1.303
0.0,1.257,0.0,0.606,0.0,1.197
0.0,1.264,0.0,0.764,0.0,1.065
0.0,1.256,0.0,0.883,0.0,0.916
0.0,1.238,0.0,0.972,0.0,0.777
0.0,1.209,0.0,1.039,0.0,0.655
0.0,1.149,0.0,1.099,0.0,0.517
0.0,1.067,0.0,1.154,0.0,0.387
0.0,0.965,0.0,1.203,0.0,0.257
0.0,0.851,0.0,1.24,0.0,0.134
0.0,0.739,0.0,1.274,0.0,0.012
0.0,0.627,0.0,1.302,0.0,-0.1
0.0,0.519,0.0,1.331,0.0,-0.202
0.0,0.422,0.0,1.35,0.0,-0.299
0.0,0.327,0.0,1.364,0.0,-0.395
0.0,0.2865,0.0,1.371,0.0,-0.4395
0.0,0.246,0.0,1.37,0.0,-0.484
0.0,0.164,0.0,1.37,0.0,-0.568
0.0,0.095,0.0,1.351,0.0,-0.644
0.0,0.036,0.0,1.313,0.0,-0.712
0.0,-0.016,0.0,1.255,0.0,-0.775
0.0,-0.067,0.0,1.175,0.0,-0.832
0.0,-0.112,0.0,1.081,0.0,-0.88
0.0,-0.166,0.0,0.982,0.0,-0.925
0.0,-0.215,0.0,0.888,0.0,-0.953
0.0,-0.261,0.0,0.803,0.0,-0.972
0.0,-0.308,0.0,0.728,0.0,-0.972
0.0,-0.352,0.0,0.661,0.0,-0.951
0.0,-0.397,0.0,0.598,0.0,-0.892
0.0,-0.43,0.0,0.548,0.0,-0.769
0.0,-0.462,0.0,0.495,0.0,-0.584
0.0,-0.487,0.0,0.448,0.0,-0.381
0.0,-0.502,0.0,0.403,0.0,-0.18
0.0,-0.493,0.0,0.36,0.0,0.011
0.0,-0.456,0.0,0.316,0.0,0.193
0.0,-0.372,0.0,0.272,0.0,0.376
0.0,-0.241,0.0,0.228,0.0,0.541
0.0,-0.071,0.0,0.186,0.0,0.692
0.0,0.105,0.0,0.142,0.0,0.815
0.0,0.285,0.0,0.103,0.0,0.916
0.0,0.452,0.0,0.063,0.0,1.009
0.0,0.594,0.0,0.027,0.0,1.091
0.0,0.707,0.0,-0.007,0.0,1.163
0.0,0.8,0.0,-0.034,0.0,1.22
